,job_title,company_name,location,ctc_min(R$),ctc_max(R$),ctc_mean(R$),experience_min(years),experience_required(years),experience_mean(years),posted(days)
675,JavaScript Developer,A1 Advance,Work from home,29412.0,41176.0,35294.0,0,1,0.5,7
676,Business Consultant,Kapable.club,Delhi,47059.0,7059.0,27059.0,1,5,3.0,7
677,Human Resources (HR) Associate,A1 Advance,Work from home,35294.0,41176.0,38235.0,0,1,0.5,7
678,Assistant Manager,A1 Advance,Work from home,29412.0,41176.0,35294.0,0,1,0.5,7
679,Accountant,A1 Advance,Work from home,23529.0,41176.0,32353.0,0,0,0.0,7
680,Digital Marketing Executive,A1 Advance,Work from home,35294.0,47059.0,41176.0,0,1,0.5,7
681,Web Developer,A1 Advance,Work from home,35294.0,47059.0,41176.0,0,1,0.5,7
682,Graphic Designer,A1 Advance,Work from home,35294.0,47059.0,41176.0,0,1,0.5,7
683,Associate Software Developer,A1 Advance,Work from home,35294.0,47059.0,41176.0,0,1,0.5,7
684,Business Development Associate,FlytBase Labs,Pune,17647.0,41176.0,29412.0,0,3,1.5,7
685,Financial Associate,WeMakeScholars,"Begumpet, Jaipur, Hyderabad, Varanasi, Secunderabad, Lucknow, Meerut, Chandigarh, Indore, Jamshedpur, Jamnagar, Ranchi",17647.0,21765.0,19706.0,0,1,0.5,7
686,Java Developer,Epicminds Information Technology,Bangalore,11765.0,14706.0,13235.0,0,0,0.0,7
687,Java Trainer,ROBUST RESULTS PRIVATE LIMITED,Noida,11765.0,23529.0,17647.0,1,5,3.0,7
688,Associate Software Development Engineer (Web),Internshala,Gurgaon,31765.0,35294.0,33529.0,0,3,1.5,7
689,Graphic Designer,Bosscoder Academy,Noida,23529.0,35294.0,29412.0,0,2,1.0,7
690,Sales Head,SDSR Consultancy Services Private Limited,"Kolkata, Pune, Nagpur, Mumbai",29412.0,44118.0,36765.0,0,5,2.5,7
691,Front End Developer (React/Next.js),Reach Hub,"Gurgaon, Delhi",28235.0,35294.0,31765.0,1,2,1.5,7
692,Marketing Manager,Idea Usher,Work from home,29412.0,35294.0,32353.0,2,5,3.5,7
693,Podcast Artist,RKO Services Private Limited,Dehradun,11765.0,0.0,5882.0,0,2,1.0,7
694,Executive HR,Branch Karma,Mumbai,17647.0,29412.0,23529.0,0,5,2.5,7
695,Senior Software Developer,GS1India,Chennai,29412.0,52941.0,41176.0,3,5,4.0,7
696,Business Development Executive,Your Digital Lift,Mumbai,11765.0,23529.0,17647.0,0,2,1.0,7
697,Business Development Executive,OckyPocky,"Gurgaon, Delhi",17647.0,20588.0,19118.0,0,4,2.0,7
698,Associate UX/UI Designer,Shubh International,Work from home,35294.0,47059.0,41176.0,0,5,2.5,7
699,Finance Manager,Shubh International,Work from home,47059.0,50000.0,48529.0,2,5,3.5,7
700,Web Developer,Shubh International,"Mumbai, Bangalore, Pune",41176.0,47059.0,44118.0,1,5,3.0,7
701,Junior Social Media Marketing Associate,Shubh International,Work from home,41176.0,47059.0,44118.0,0,5,2.5,7
702,Data Scientist,Shubh International,Work from home,52941.0,5882.0,29412.0,0,5,2.5,7
703,Junior Software Tester,Shubh International,Work from home,5882.0,706.0,3294.0,1,5,3.0,7
704,Full Stack Developer,Shubh International,Work from home,5882.0,706.0,3294.0,0,5,2.5,7
705,Junior Backend Developer,Shubh International,Work from home,52941.0,5882.0,29412.0,0,3,1.5,7
706,Business Development Executive,Shubh International,Work from home,41176.0,47059.0,44118.0,2,5,3.5,7
707,Junior Operations Associate,Shubh International,Work from home,35294.0,47059.0,41176.0,1,5,3.0,7
708,Senior Backend Developer,Shubh International,Work from home,47059.0,5882.0,26471.0,0,3,1.5,7
709,Front End Developer,Shubh International,Work from home,47059.0,5882.0,26471.0,0,2,1.0,7
710,Android App Developer,Shubh International,Work from home,41176.0,47059.0,44118.0,0,2,1.0,7
711,Inside Sales Executive,SKILLFORGE E-LEARNING SOLUTIONS PRIVATE LIMITED,Bangalore,25412.0,0.0,12706.0,0,2,1.0,7
712,Academic Counselor,SKILLFORGE E-LEARNING SOLUTIONS PRIVATE LIMITED,Bangalore,25412.0,0.0,12706.0,0,2,1.0,7
713,Academic Content Expert - Economics (English),QA Solvers,Varanasi,14706.0,17647.0,16176.0,0,2,1.0,7
714,Academic Content Expert - Accountancy (English),QA Solvers,Varanasi,14706.0,17647.0,16176.0,0,2,1.0,7
715,Academic Content Expert - Chemistry (English),QA Solvers,Varanasi,14706.0,17647.0,16176.0,0,2,1.0,7
716,Academic Content Expert - Physics (English),QA Solvers,Varanasi,14706.0,17647.0,16176.0,0,2,1.0,7
717,Academic Content Expert - Statistics (English),QA Solvers,Varanasi,14706.0,17647.0,16176.0,0,2,1.0,7
718,HR Executive,Tring,Mumbai,14706.0,17647.0,16176.0,1,2,1.5,14
719,SME - Chemistry (Graduation),QA Solvers,Work from home,14706.0,20588.0,17647.0,0,2,1.0,14
720,Associate UI/UX Designer,AICAN Private Limited,Mumbai,11765.0,17647.0,14706.0,1,2,1.5,14
721,Full Stack MERN Developer,AICAN Private Limited,Mumbai,14706.0,20588.0,17647.0,0,1,0.5,14
722,Marketing And Communication Associate,Benepik,Gurgaon,14706.0,20588.0,17647.0,0,2,1.0,14
723,Embedded Systems Engineer,AICAN Private Limited,Mumbai,11765.0,17647.0,14706.0,1,2,1.5,14
724,Vue JS Developer,Error Technologies,Hyderabad,14118.0,21176.0,17647.0,0,2,1.0,14
725,React Developer,Error Technologies,Hyderabad,14118.0,21176.0,17647.0,0,2,1.0,14
726,Project Manager,Error Technologies,Hyderabad,14118.0,21176.0,17647.0,0,2,1.0,14
727,Junior Social Media Marketing Associate,Solution Graph,"Faridabad, Delhi, Noida, Ghaziabad, Gurgaon",11765.0,17647.0,14706.0,0,2,1.0,14
728,Career Counselor,DGguru Learning Solutions Private Limited (MentorKart),Noida,17647.0,23529.0,20588.0,1,3,2.0,14
729,Accountant,Inorbvict Healthcare India Private Limited,Pune,11765.0,17647.0,14706.0,1,3,2.0,14
730,Junior Software Developer,IESoft Technologies Private Limited,Work from home,17647.0,29412.0,23529.0,0,1,0.5,14
731,Logistics Manager,Inorbvict Healthcare India Private Limited,Pune,11765.0,21765.0,16765.0,1,3,2.0,14
732,Sales Executive,Zigsaw Consultancy,Kanpur,29412.0,35294.0,32353.0,4,5,4.5,14
733,Liasoning Executive,Zigsaw Consultancy,Kanpur,29412.0,35294.0,32353.0,4,5,4.5,14
734,Business Development Manager,AntWalk,Work from home,29412.0,41176.0,35294.0,2,5,3.5,14
735,Operations Associate,Able Jobs,Bangalore,17647.0,23529.0,20588.0,0,3,1.5,14
736,Subject Matter Expert (Team Lead),Graveiens Eduservices Private Limited,Work from home,11765.0,23529.0,17647.0,1,3,2.0,14
737,Software Instructor (For Oracle),Adroit Technologies Innovative Solutions Private Limited,"Gujarat, Vellore, Coimbatore, Erode, Chennai, Hyderabad, Bangalore, Karur",20588.0,23529.0,22059.0,0,2,1.0,14
738,Business Development Executive,AajNeeti,Noida,11765.0,23529.0,17647.0,1,3,2.0,14
739,Business Development Executive,Primary Healthtech,"Guwahati, Delhi",11765.0,17647.0,14706.0,0,2,1.0,14
740,Design - Manufacturing Engineer,Primary Healthtech,"Delhi, Guwahati",29412.0,35294.0,32353.0,2,5,3.5,14
741,Junior Software Developer,Solution Graph,"Nagpur, Nashik, Pune, Mumbai",17647.0,41176.0,29412.0,0,2,1.0,14
742,Google Apps Sheet And API Integration Specialist,Ecovista Industries Pvt Ltd,Work from home,11765.0,23529.0,17647.0,1,5,3.0,14
743,Human Resources (HR) Executive,DIGIGIRI ENTERPRISES,Sonipat,11765.0,14118.0,12941.0,1,5,3.0,14
744,Human Resources (HR) Executive,DIGIGIRI ENTERPRISES,Kundli,11765.0,14118.0,12941.0,1,5,3.0,14
745,Junior Social Media Marketing Associate,FlytBase Labs,Pune,17647.0,35294.0,26471.0,0,2,1.0,14
746,SME - Economics (Graduation),QA Solvers,Work from home,14706.0,20588.0,17647.0,0,3,1.5,14
747,Junior Graphic Designer,ChipBucket Solution Private Limited,Ahmedabad,14706.0,23529.0,19118.0,0,2,1.0,14
748,Software Developer,Solution Graph,Bangalore,23529.0,47059.0,35294.0,0,1,0.5,14
749,Associate Video Editor & Graphic Designer,WinnyTine Events,"Mumbai, Dahisar",11765.0,14118.0,12941.0,0,1,0.5,14
750,Social Media Manager,IB Cricket,Hyderabad,14118.0,17647.0,15882.0,0,1,0.5,14
751,Vendor Relations Manager,Digipplus,Work from home,29412.0,41176.0,35294.0,3,5,4.0,14
752,Telecaller,Peppermint Communications Private Limited,Work from home,11765.0,0.0,5882.0,0,1,0.5,14
753,Graphic Designer,Jalan Technology Consulting,"Jaipur, Bangalore",11765.0,23529.0,17647.0,1,3,2.0,14
754,Content Writer/Content Marketing Specialist,Return Journey LLP,Pune,12941.0,14706.0,13824.0,1,3,2.0,14
755,Social Media Marketing Specialist,Return Journey LLP,Pune,11765.0,14118.0,12941.0,1,3,2.0,14
756,Human Resources (HR) Executive,Xboom Utilities Private Limited,Bangalore,17647.0,29412.0,23529.0,1,5,3.0,14
757,Digital Marketing Executive,ChipBucket Solution Private Limited,Ahmedabad,14118.0,21176.0,17647.0,1,3,2.0,14
758,Business Development Executive,IESoft Technologies Private Limited,Delhi,11765.0,23529.0,17647.0,1,4,2.5,14
759,Business Development Executive,SND DIGITAL RETAILS LLP (StarAndDaisy),Ghaziabad,11765.0,12941.0,12353.0,0,1,0.5,21
760,Senior Associate - SEO,Internshala,Gurgaon,29412.0,47059.0,38235.0,2,3,2.5,21
761,Senior UX/UI Designer,AltaSierra,Work from home,29412.0,41176.0,35294.0,2,0,1.0,21
762,Pre- Sales Associate,AntWalk,Work from home,23529.0,41176.0,32353.0,1,4,2.5,21
763,Senior Web Developer,AltaSierra,Work from home,29412.0,47059.0,38235.0,2,0,1.0,21
764,Associate Product Manager,The Agency Source,Delhi,17647.0,20588.0,19118.0,0,1,0.5,21
765,Senior Marketer,AltaSierra,Work from home,29412.0,47059.0,38235.0,3,0,1.5,21
766,Human Resources (HR) Manager,AltaSierra,Work from home,29412.0,41176.0,35294.0,2,0,1.0,21
767,Customer Relationship Manager,TopMentor,Pune,11765.0,17647.0,14706.0,0,0,0.0,21
768,Founders Office Executive (Business),Super Assistant,Work from home,14118.0,21176.0,17647.0,0,3,1.5,21
769,Junior Corporate Sales Associate,Super Assistant,Work from home,17647.0,23529.0,20588.0,0,2,1.0,21
770,Business Development Manager (IT),VAIR IT TECHNOLOGIES PVT LTD,Noida,29412.0,35294.0,32353.0,3,5,4.0,21
771,Junior Sales Executive,OckyPocky,"Delhi, Gurgaon",17647.0,20588.0,19118.0,1,2,1.5,21
772,Corporate Sales Executive,Kompass India Information Private Limited,Mumbai,11765.0,23529.0,17647.0,0,5,2.5,21
773,Technical Support (Cloud Services) Executive,Sanver E-Solutions Private Limited,Mumbai,21176.0,28235.0,24706.0,1,2,1.5,21
774,Recruitment (HR) Executive,Sanver E-Solutions Private Limited,Mumbai,21176.0,28235.0,24706.0,1,3,2.0,21
775,Inside Sales Executive,Sanver E-Solutions Private Limited,Mumbai,21176.0,35294.0,28235.0,1,3,2.0,21
776,Accountant,Sanver E-Solutions Private Limited,Mumbai,17647.0,0.0,8824.0,1,2,1.5,21
777,Business Development Associate (Delhi),IB Cricket,Delhi,17647.0,29412.0,23529.0,0,3,1.5,21
778,Business Development Associate ( Hyderabad ),IB Cricket,Hyderabad,17647.0,29412.0,23529.0,0,3,1.5,21
779,Business Development Manager,Zigsaw Consultancy,Delhi,17647.0,24706.0,21176.0,1,2,1.5,21
780,Team Lead Relationship Manager,Showoffclicks,Thane,11765.0,14706.0,13235.0,1,0,0.5,21
781,Training Delivery Executive,STEMplify,Noida,14706.0,21176.0,17941.0,0,1,0.5,21
782,Content Development Executive,STEMplify,Noida,15882.0,23529.0,19706.0,0,1,0.5,21
783,STEM Trainer,STEMplify,Noida,15882.0,21176.0,18529.0,0,1,0.5,21
784,Human Resources (HR) Executive,STEMplify,Noida,15882.0,21176.0,18529.0,0,1,0.5,21
785,Social Media Marketing Associate,Showoffclicks,Thane,11765.0,14706.0,13235.0,1,0,0.5,21
786,Research Associate (Chemistry/Biotechnology),Primary Healthtech,Guwahati,11765.0,23529.0,17647.0,0,1,0.5,21
787,Business Development Executive,Primary Healthtech,Guwahati,11765.0,14118.0,12941.0,0,1,0.5,21
788,Executive - Inside Sales,GS1India,Mumbai,17647.0,29412.0,23529.0,0,2,1.0,21
789,Full Stack Developer,Super Assistant,Work from home,24706.0,35294.0,30000.0,0,2,1.0,21
790,Chemical Engineer,Primary Healthtech,Guwahati,11765.0,17647.0,14706.0,0,1,0.5,21
791,Graphic Designer,Studio Image Works,Gurgaon,29412.0,35294.0,32353.0,2,0,1.0,21
792,CGI Photo Retoucher,Studio Image Works,Gurgaon,29412.0,35294.0,32353.0,2,0,1.0,21
793,Digital Marketing Executive,Sharedpro,Vadodara,14118.0,21176.0,17647.0,0,2,1.0,21
794,Subject Matter Expert - Chemistry,Innovalance Learning Systems,Work from home,11765.0,17647.0,14706.0,0,2,1.0,21
795,Graphic Designer,Zigsaw Consultancy,Bangalore,29412.0,35294.0,32353.0,2,4,3.0,21
796,Graphic Designer,Zigsaw Consultancy,Mumbai,29412.0,0.0,14706.0,2,3,2.5,21
797,Backend Developer,Zigsaw Consultancy,Surat,14118.0,24706.0,19412.0,1,4,2.5,21
798,Senior Graphic Designer,Zigsaw Consultancy,Kolkata,29412.0,0.0,14706.0,4,5,4.5,21
799,Product Analyst,InstaAstro,Noida,14118.0,17647.0,15882.0,0,1,0.5,21
800,Interior Stylist,Zigsaw Consultancy,Mumbai,32353.0,34118.0,33235.0,3,5,4.0,21
801,UI/UX Designer,Zigsaw Consultancy,Udaipur,12647.0,12706.0,12676.0,0,1,0.5,21
802,PHP Developer,Zigsaw Consultancy,Vadodara,23529.0,24706.0,24118.0,1,3,2.0,21
803,UI/UX Designer,Zigsaw Consultancy,Jaipur,29412.0,35294.0,32353.0,2,4,3.0,21
804,Human Resources (HR) Associate,Guruji Astro,Jaipur,11765.0,17647.0,14706.0,0,3,1.5,21
805,Design And Product Engineer,Primary Healthtech,Guwahati,11765.0,14118.0,12941.0,0,1,0.5,21
806,Motion Graphics Artist,Studio Image Works,Gurgaon,29412.0,35294.0,32353.0,3,5,4.0,21
807,React Native Developer,InstaAstro,Noida,14706.0,17647.0,16176.0,1,2,1.5,21
808,Business Development Manager,Studio Image Works,Gurgaon,29412.0,47059.0,38235.0,2,5,3.5,21
809,Assistant Manager - Corporate Sales,Studio Image Works,Gurgaon,29412.0,47059.0,38235.0,2,5,3.5,21
810,Senior PHP Developer,OyeLabs,Work from home,35294.0,56471.0,45882.0,3,5,4.0,21
811,Product Growth Consultant,IESoft Technologies Private Limited,Mumbai,14118.0,17647.0,15882.0,0,3,1.5,21
812,Corporate Sales Associate,Guruji Astro,Jaipur,11765.0,12353.0,12059.0,0,1,0.5,21
813,Embedded Electronics Engineer,Primary Healthtech,Guwahati,29412.0,0.0,14706.0,3,5,4.0,21
814,Associate Physicist,Graveiens Eduservices Private Limited,Work from home,11765.0,23529.0,17647.0,1,5,3.0,21
815,Associate Chartered Accountant (CA),Infinity Magazine,Work from home,47059.0,0.0,23529.0,1,5,3.0,21
816,Junior Motion Graphics Specialist,Graveiens Eduservices Private Limited,Work from home,11765.0,23529.0,17647.0,1,5,3.0,21
817,Associate Civil Engineer,Graveiens Eduservices Private Limited,Work from home,11765.0,23529.0,17647.0,1,2,1.5,21
818,Chemistry Content Developer,Graveiens Eduservices Private Limited,Work from home,11765.0,23529.0,17647.0,1,3,2.0,21
819,Animator,Graveiens Eduservices Private Limited,Work from home,11765.0,23529.0,17647.0,1,3,2.0,21
820,Business Development Executive,Graveiens Eduservices Private Limited,Work from home,11765.0,23529.0,17647.0,0,3,1.5,21
821,Quality Assurance Engineer,Clappia,Bangalore,21176.0,0.0,10588.0,1,3,2.0,21
822,Marketing Executive,Jus Amazin Foods & Beverages Private Limited,Bangalore,11765.0,14706.0,13235.0,0,4,2.0,21
823,Android Developer,SIXHOPS INFOTECH PRIVATE LIMITED,Work from home,11765.0,0.0,5882.0,0,1,0.5,21
824,Junior Operations Manager,Picostone,Mumbai,17647.0,0.0,8824.0,0,0,0.0,21
825,Junior Software Developer - Flutter,House Of Couton Private Limited,Kolkata,11765.0,17647.0,14706.0,0,2,1.0,21
826,Associate Content Writer,RankItRight Media,Bangalore,23529.0,29412.0,26471.0,0,3,1.5,21
827,Client Servicing Executive,Studio Image Works,Gurgaon,11765.0,23529.0,17647.0,1,2,1.5,21
828,Junior Full Stack Developer,SIXHOPS INFOTECH PRIVATE LIMITED,Work from home,11765.0,0.0,5882.0,0,1,0.5,21
829,SME - Statistics (Graduation),QA Solvers,Work from home,14706.0,20588.0,17647.0,0,2,1.0,21
830,SME - Accounts (Graduation),QA Solvers,Work from home,14706.0,20588.0,17647.0,0,2,1.0,21
831,Business Development Associate,Simit Bhagat Studios,Mumbai,17647.0,21176.0,19412.0,0,2,1.0,21
832,Alliance Executive,Sharedpro,Vadodara,17647.0,0.0,8824.0,0,1,0.5,21
833,Client Success Executive,Sharedpro,Vadodara,17647.0,28235.0,22941.0,1,5,3.0,21
834,Software Tester,Sharedpro,Vadodara,14118.0,14706.0,14412.0,0,1,0.5,21
835,Linux Developer,VIZON,Work from home,37647.0,6941.0,22294.0,0,5,2.5,21
836,Mechanical Engineer,VIZON,"Dehradun, Bangalore",33412.0,6588.0,20000.0,0,5,2.5,21
837,Hardware Electronics Engineer,VIZON,Work from home,32941.0,6588.0,19765.0,0,5,2.5,21
838,AI Developer,VIZON,Work from home,32941.0,6588.0,19765.0,0,5,2.5,21
839,Trainee - Operations,WOW - World Of Windows,Indore,11765.0,11765.0,11765.0,0,2,1.0,3
840,Junior Graphic Designer,Malidesarc Private Limited,Mumbai,11765.0,0.0,5882.0,0,2,1.0,3
841,Finance Manager,Shree Bajrang Motors Private Limited,Raigarh,11765.0,17647.0,14706.0,0,2,1.0,3
842,Business Development Associate,Tirumala IT,Mumbai,11765.0,17647.0,14706.0,0,2,1.0,3
843,Junior Lead Generation Associate,ProsperaSoft,Pune,11765.0,21176.0,16471.0,0,2,1.0,3
844,Manager - Learning & Development,National Program On Career Awareness,Noida,20588.0,23529.0,22059.0,0,2,1.0,1
845,Revenue Manager,Hotel Transit Private Limited - Units (T24 Retro & T24 Residency),Mumbai,14706.0,20588.0,17647.0,0,2,1.0,1
846,Global Marketing Manager - Internet Removals,"Internet Removals (Singapore, Singapore)",Work from home,11765.0,0.0,5882.0,0,2,1.0,1
847,Project Coordinator`,Spark Engineers,Pune,11765.0,23529.0,17647.0,0,2,1.0,1
848,Electronics Engineer,Strataroh Ventures Private Limited,Pune,11765.0,17647.0,14706.0,0,2,1.0,1
849,Client Servicing Associate,Dechcept Private Limited,Surat,11765.0,0.0,5882.0,0,2,1.0,2
850,Graphic Designer,Dechcept Private Limited,Surat,11765.0,0.0,5882.0,0,2,1.0,2
851,Assistant Sales Manager,Engage Infinity,"Delhi, Gurgaon, Noida",11765.0,35294.0,23529.0,0,5,2.5,1
852,Female Assistant Accountant For GST And TDS Lucknow,Surgifab Trading Corp.,Lucknow,11765.0,17647.0,14706.0,0,2,1.0,2
853,Junior Operations Manager,Documitra,Ajmer,11765.0,14706.0,13235.0,0,2,1.0,3
854,Sales Executives/Engineers,Offcom Systems Private Limited,"Delhi, Noida, Lucknow, Jaipur",11765.0,17647.0,14706.0,0,2,1.0,1
855,Sales & Marketing Executive,DreamHii Creatives,"Delhi, Noida",11765.0,17647.0,14706.0,0,2,1.0,2
856,Senior Accountant,Lotus Group,Mumbai,35294.0,0.0,17647.0,0,5,2.5,2
857,Admission Counselor,Talent Giants Consultancy Services,"Delhi, Noida",17647.0,24706.0,21176.0,0,2,1.0,2
858,Digital Marketing Executive,Raghunandan Money,Agra,11765.0,14118.0,12941.0,0,2,1.0,4
859,Business Development Associate,TSAW Drones,Delhi,14706.0,29412.0,22059.0,0,5,2.5,4
860,Field Sales Executive,Icareheal,"Gurgaon, Noida, Delhi",20588.0,26471.0,23529.0,0,2,1.0,2
861,Business Development Executive,Good Moneying,Chandigarh,17647.0,0.0,8824.0,0,2,1.0,5
862,Business Development Executive,Aelum Consulting,Jaipur,17647.0,23529.0,20588.0,0,2,1.0,7
863,Education Counsellor,Kazian School Of Management,"Mumbai, Dahisar",11765.0,17647.0,14706.0,0,2,1.0,6
864,Marketing And Sales Executive,Shoot Express,Mumbai,17647.0,23529.0,20588.0,0,2,1.0,3
865,Business Development (Sales),Aesthetic Workshops,Mumbai,11765.0,17647.0,14706.0,0,2,1.0,4
866,CX Executive,Innofitt Systems Private Limited,Mumbai,11765.0,15294.0,13529.0,0,2,1.0,7
867,Associate Telecaller,GetWork,Mumbai,11765.0,14118.0,12941.0,0,2,1.0,4
868,Senior Operations Manager,Valkyre Clothing,Mumbai,17647.0,24706.0,21176.0,0,2,1.0,21
869,Junior Architect,"Udayan Shrinivas Kulkarni, Architect",Karad,11765.0,14118.0,12941.0,0,2,1.0,7
870,Technical Content Writing Executive,Aelum Consulting,Jaipur,17647.0,23529.0,20588.0,0,2,1.0,7
871,Telecaller,Braindezvous Infotech Private Limited,Noida,14118.0,21176.0,17647.0,0,2,1.0,4
872,Study Abroad Counsellor,Enrizon,Mumbai,17647.0,21176.0,19412.0,0,2,1.0,3
873,Business Development Associate,Unicornready,Bangalore,17647.0,0.0,8824.0,0,2,1.0,4
874,Associate Content Writer,Paarami Digital Consulting,Mumbai,14706.0,20588.0,17647.0,0,2,1.0,3
875,Business Executive,Radiance Global Traders Private Limited,Chennai,11765.0,0.0,5882.0,0,2,1.0,7
876,Video Editor,SparkPlug,Mumbai,14118.0,17647.0,15882.0,0,2,1.0,2
877,Sales And Telecalling Executive,Madera Furniture Company,Gurgaon,14118.0,21176.0,17647.0,0,2,1.0,2
878,ECommerce Sr Executive,PushpLinen,Navi Mumbai,17647.0,20588.0,19118.0,0,2,1.0,2
879,Female Retail Sales Manager,The BrowMasters,Mumbai,28235.0,47059.0,37647.0,0,5,2.5,4
880,Administration Executive,Malin One Applied Technologies Private Limited (InceptionX),"Goregaon Kh, Borivali Tarf Rahur, Mumbai",17647.0,19118.0,18382.0,0,2,1.0,5
881,Credit Counsellor,Rutuja Gaikwad,Pune,11765.0,23529.0,17647.0,0,2,1.0,2
882,Business Development Executive,Realtor Guide,Navi Mumbai,11765.0,20588.0,16176.0,0,2,1.0,3
883,Junior Media & Public Relations (PR) Associate,SquareFork,Delhi,11765.0,15529.0,13647.0,0,2,1.0,2
884,Educator,Stardust Observatory,Sawai Madhopura,11765.0,12059.0,11912.0,0,2,1.0,7
885,Event Management Executive,Bajaj Foundation,Delhi,11765.0,0.0,5882.0,0,2,1.0,7
886,Sales Manager,Just4You Surprise Planners LLP,Delhi,26471.0,29412.0,27941.0,0,5,2.5,4
887,Business Associate,AssetPlus (ValuePlus Technologies Private Limited),Chennai,17647.0,26471.0,22059.0,0,2,1.0,4
888,Content Marketing Associate,Duutha,Hyderabad,11765.0,14118.0,12941.0,0,2,1.0,3
889,Face-to-Face Fundraiser,Direct Dialogue Initiatives India Private Limited,Pune,17647.0,20588.0,19118.0,0,2,1.0,3
890,Office Administrator/Purchase Coordinator,Blu Berry Company,Mumbai,11765.0,17647.0,14706.0,0,2,1.0,3
891,Graphic Designer,Jukebox Creations,Mumbai,17647.0,23529.0,20588.0,0,2,1.0,5
892,Receptionist/Front Office,Zaitoon Multi Cuisine Restaurant,"Vellore, Chennai, Bangalore, Madurai",11765.0,14118.0,12941.0,0,2,1.0,4
893,Business Development Executive,Trivy Technologies Private Limited,Noida,26471.0,35294.0,30882.0,0,5,2.5,6
894,Graphic Designer,Osprey Invites,Mumbai,11765.0,17647.0,14706.0,0,2,1.0,4
895,Accounting,Damodar Papers,Noida,11765.0,12941.0,12353.0,0,2,1.0,2
896,Graphic Designer,Airblack,Gurgaon,17647.0,21176.0,19412.0,0,2,1.0,3
897,Business Development And Operations Associate,BookYourSlot,"Thane, Mumbai",17647.0,20588.0,19118.0,0,2,1.0,2
898,Graphic Designer,Small Town Brandits,Bangalore,23529.0,0.0,11765.0,0,2,1.0,2
899,Digital Marketing Executive,Hanumant Jewels,Delhi,12000.0,17647.0,14824.0,0,2,1.0,3
900,Junior Interior Designer,VRAugment Works Private Limited,Pune,11765.0,12941.0,12353.0,0,2,1.0,3
901,Accounting And Finance Associate,Mutta Financial Services LLC,Mumbai,14706.0,20588.0,17647.0,0,2,1.0,2
902,Interior Designer,Mybathspace,Delhi,12941.0,16471.0,14706.0,0,2,1.0,4
903,HR Recruiter / Talent Acquisition Executive,T & A Solutions,Chandigarh,11765.0,17647.0,14706.0,0,2,1.0,5
904,Fresher Architect,I'm Design,Gurgaon,11765.0,17647.0,14706.0,0,2,1.0,5
905,Business Development Associate,DataVinci Private Limited,Work from home,17647.0,20588.0,19118.0,0,2,1.0,5
906,PHP Laravel Developer,STRAIGHTLINE TECHNOLOGIES,Coimbatore,12706.0,16176.0,14441.0,0,2,1.0,4
907,Associate Chartered Accountant (CA),Oxylus Luxe Resort LLP,Mumbai,21176.0,28235.0,24706.0,0,2,1.0,4
908,Data Entry Executive,Sentriscope Data Intelligence Private Limited,Noida,14706.0,15882.0,15294.0,0,2,1.0,5
909,Associate Accountant,Abhijeet Soni,Hyderabad,14706.0,17647.0,16176.0,0,2,1.0,4
910,Talent Acquisition Specialist,Quick Digital Technologies Private Limited,Gurgaon,17647.0,29412.0,23529.0,0,5,2.5,2
911,Recruitment Analyst,Khaitan Infotech Private Limited,Noida,11765.0,17647.0,14706.0,0,2,1.0,2
912,General Management Trainee,TellMe Digiinfotech Private Limited,Pune,11765.0,17647.0,14706.0,0,2,1.0,2
913,Social Media Manager,Photo Jewels,Palampur,11765.0,17647.0,14706.0,0,2,1.0,21
914,Printing Executive,Photo Jewels,Palampur,11765.0,17647.0,14706.0,0,2,1.0,21
915,Regional Customer Manager,Eupheus Learning,Amravati,17647.0,23529.0,20588.0,0,2,1.0,7
916,Customer Support,Photo Jewels,Palampur,11765.0,17647.0,14706.0,0,2,1.0,21
917,Field Sales Executive,Green World Paints,"Rudrapur, Haldwani Talli",14118.0,17647.0,15882.0,0,2,1.0,21
918,Junior Operations Executive,Agnihotri Securities Ltd,Shajapur,11765.0,12353.0,12059.0,0,2,1.0,7
919,Video Editor,QuadB Tech,Ludiana,11765.0,0.0,5882.0,0,2,1.0,14
920,Client Acquisition Executive,IJRDO Journal,Panchkula,11765.0,17647.0,14706.0,0,2,1.0,14
921,Anchor,QuadB Tech,Ludhiana,11765.0,0.0,5882.0,0,2,1.0,14
922,Digital Marketing Executive,Moneytor,Visakhapatnam,11765.0,12941.0,12353.0,0,2,1.0,21
923,Junior Corporate Sales Executive,Content-Whale,Mumbai,17647.0,23529.0,20588.0,0,2,1.0,21
924,Junior Corporate Sales Executive,SEED WTR,Mumbai,17647.0,23529.0,20588.0,0,2,1.0,7
925,Buisness Development Associate,Content-Whale,Mumbai,20588.0,24706.0,22647.0,0,2,1.0,21
926,Business Development Executive,Webcap Technology,Thane,11765.0,17647.0,14706.0,0,2,1.0,21
927,Customer Acquisition Executive,Sutra Services Private Limited,Mumbai,11765.0,20588.0,16176.0,0,2,1.0,21
928,Telecaller,VK Finance,Ludhiana,11765.0,0.0,5882.0,0,2,1.0,21
929,Customer Acquisition Executive,Sutra Services Private Limited,Mumbai,11765.0,20588.0,16176.0,0,2,1.0,21
930,Sales Executive,Caremytrip.Com Hospitality Private Limited,Dehradun,11765.0,28235.0,20000.0,0,2,1.0,14
931,Corporate Sales Executive,Pearl Enterprise,"Mumbai, Thane",17647.0,23529.0,20588.0,0,2,1.0,7
